"C_C_C_C_C_C_C_C_C_C_C_C7","IrrSunSoy_A","IRRIGATION: SUNFLOWER AND SOYBEANS","0.0 : 100000.0 : 1000000.0","C_C_C_C_C_C_C_C_C_C_C_C7=C_C_C_C_C_C_C_C_C_C_C_C22_2_1+C_C_C_C_C_C_C_C_C_C_C_C22_2",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C7","IrrSunSoy_B","IRRIGATION: SUNFLOWER AND SOYBEANS","0.0 : 100000.0 : 1000000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C7=C_C_C_C_C_C_C_C_C_C_C_C_C_C22_2_1 + C_C_C_C_C_C_C_C_C_C_C_C_C_C22_2",0
"C934","IrrTobac_A","C934: IRRIGATION TOBACCO (M3/A)","0.0 : 4000000.0 : 40000000.0","C934=C_C_C_C_C_C_C_C_C_C_C_C_C_C_C_C4_2_2*4729",0
"C_C934","IrrTobac_B","C934: IRRIGATION TOBACCO (M3/A)","0.0 : 4000000.0 : 40000000.0","C_C934=C_C_C_C_C_C879 * 4729",0
"C_C_C_C_C_C_C_C_C_C_C_C20","IrrWheat_A","IRRIGATION WHEAT (M3/A)","0.0 : 40000.0 : 400000.0","C_C_C_C_C_C_C_C_C_C_C_C20=C_C_C_C_C_C_C_C_C_C_C_C_C8_4* 7300",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C20","IrrWheat_B","IRRIGATION WHEAT (M3/A)","0.0 : 40000.0 : 400000.0","C_C_C_C_C_C_C_C_C_C_C_C_C_C20=C_C_C_C_C_C_C_C_C_C_C_C10 * 7300",0
"C_C_C_C_C_C_C_C_C_C_C_C_C1_3","LRCane_A","LAND RATIO (LR) SUGARCANE","0.1 : 0.2 : 1.7","C_C_C_C_C_C_C_C_C_C_C_C_C1_3",0
"C_C_C_C_C_C_C_C_C_C_C_C1_3","LRCane_B","LAND RATIO (LR) SUGARCANE","0.1 : 0.2 : 1.7","C_C_C_C_C_C_C_C_C_C_C_C1_3",0
"C_C_C_C_C_C_C_C_C_C_C_C1_4","LRFruitVeg_A","LAND RATIO (LR) FRUIT & VEG","0.1 : 0.2 : 1.7","C_C_C_C_C_C_C_C_C_C_C_C1_4",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C1_4_1","LRFruitVeg_D","LAND RATIO F&V","0.1 : 0.2 : 1.7","C_C_C_C_C_C_C_C_C_C_C_C_C_C1_4_1",0
"C_C_C_C_C_C_C_C_C_C_C_C_C_C_C1_4","LRFruitVeg_C","LAND RATIO (LR) FRUIT & VEG","0.1 : 0.2 : 1.7","C_C_C_C_C_C_C_C_C_C_C_C_C_C_C1_4",0
"C_C_C_C_C_C_C_C_C_C_C_C1_4_1","LRFruitVeg_B","LAND RATIO F&V","0.1 : 0.2 : 1.7","C_C_C_C_C_C_C_C_C_C_C_C1_4_1",0
"C_C_C_C_C_C_C_C_C_C_C_C_C1_4","LRGrain_A","LAND RATIO (LR) GRAIN","0.1 : 0.2 : 1.7","C_C_C_C_C_C_C_C_C_C_C_C_C1_4",0
